TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
FBtr0070241	6	89	2	81	1108	2.7303	-1.7303	0.2870 
FBtr0070244	10	34	8	29	604	1.0662	-0.0662	1.0000 
FBtr0070245	76	77	33	61	861	1.8245	-0.8245	0.0345 
FBtr0070249	12	41	2	34	639	4.9756	-3.9756	0.0381 
FBtr0070250	59	32	16	22	329	2.5352	-1.5352	0.0199 
FBtr0070251	34	58	25	42	588	0.9848	0.0152	1.0000 
FBtr0070252	10	19	81	26	400	0.1689	0.8311	0.0001 
FBtr0070253	7	8	2	17	196	7.4375	-6.4375	0.0252 
FBtr0070254	2	7	1	8	186	2.2857	-1.2857	1.0000 
FBtr0070255	4	17	3	18	257	1.4118	-0.4118	1.0000 
FBtr0070256	4	17	3	18	257	1.4118	-0.4118	1.0000 
FBtr0070257	12	11	8	31	301	4.2273	-3.2273	0.0132 
FBtr0070258	26	12	19	30	326	3.4211	-2.4211	0.0092 
FBtr0070259	1	10	2	25	293	1.2500	-0.25	1.0000 
FBtr0070260	0	10	1	16	211	0.0000	1	1.0000 
FBtr0070261	9	53	17	45	834	0.4495	0.5505	0.1215 
FBtr0070262	6	25	8	37	674	1.1100	-0.11	1.0000 
FBtr0070263	9	53	17	45	834	0.4495	0.5505	0.1215 
FBtr0070265	9	34	9	41	655	1.2059	-0.2059	0.7955 
FBtr0070266	6	25	7	37	616	1.2686	-0.2686	0.7621 
FBtr0070269	26	76	12	59	1003	1.6820	-0.682	0.1965 
FBtr0070270	20	51	14	35	608	0.9804	0.0196	1.0000 
FBtr0070272	9	28	14	44	552	1.0102	-0.0102	1.0000 
FBtr0070277	15	30	7	18	400	1.2857	-0.2857	0.7898 
FBtr0070278	7	18	7	22	303	1.2222	-0.2222	0.7658 
FBtr0070279	25	29	26	25	362	0.8289	0.1711	0.6979 
FBtr0070283	1	16	3	6	140	0.1250	0.875	0.1039 
FBtr0070284	136	68	138	107	1757	1.5507	-0.5507	0.0259 
FBtr0070285	5	3	6	11	116	3.0556	-2.0556	0.3892 
FBtr0070288	9	59	6	64	1083	1.6271	-0.6271	0.4230 
FBtr0070289	0	10	0	12	271	0.0000	1	1.0000 
FBtr0070290	0	10	0	12	271	0.0000	1	1.0000 
FBtr0070291	388	147	4	12	312	7.9184	-6.9184	0.0001 
FBtr0070293	1	12	38	30	188	0.0658	0.9342	0.0017 
FBtr0070294	0	11	38	30	184	0.0000	1	0.0005 
FBtr0070295	7	9	9	29	285	2.5062	-1.5062	0.1940 
FBtr0070296	19	28	18	48	470	1.8095	-0.8095	0.1590 
FBtr0070297	22	27	7	38	606	4.4233	-3.4233	0.0033 
FBtr0070298	21	15	12	16	260	1.8667	-0.8667	0.3136 
FBtr0070299	0	25	13	26	632	0.0000	1	0.0009 
FBtr0070300	0	25	12	25	628	0.0000	1	0.0009 
FBtr0070301	12	5	35	14	198	0.9600	0.04	1.0000 
FBtr0070308	1	10	0	14	217	0.0000	1	0.4400 
FBtr0070310	32	65	46	78	1103	0.8348	0.1652	0.5719 
FBtr0070311	5	20	5	30	479	1.5000	-0.5	0.7277 
FBtr0070312	16	25	32	38	507	0.7600	0.24	0.5544 
FBtr0070313	10	8	0	11	177	0.0000	1	0.0035 
FBtr0070314	3	13	8	15	243	0.4327	0.5673	0.4707 
FBtr0070315	27	68	58	55	970	0.3765	0.6235	0.0011 
FBtr0070316	13	80	2	98	1525	7.9625	-6.9625	0.0022 
FBtr0070317	11	53	2	47	850	4.8774	-3.8774	0.0379 
FBtr0070318	9	23	12	28	456	0.9130	0.087	1.0000 
FBtr0070319	9	23	12	28	439	0.9130	0.087	1.0000 
FBtr0070320	8	20	9	26	401	1.1556	-0.1556	1.0000 
FBtr0070321	13	17	8	27	299	2.5809	-1.5809	0.1112 
FBtr0070326	72	102	91	122	2285	0.9463	0.0537	0.8362 
FBtr0070327	20	43	14	45	572	1.4950	-0.495	0.4194 
FBtr0070328	19	15	13	17	264	1.6564	-0.6564	0.4527 
FBtr0070330	10	25	40	41	361	0.4100	0.59	0.0430 
FBtr0070331	6	16	8	18	256	0.8438	0.1562	1.0000 
FBtr0070334	14	25	3	43	593	8.0267	-7.0267	0.0009 
FBtr0070335	14	25	3	43	593	8.0267	-7.0267	0.0009 
FBtr0070336	14	25	3	43	593	8.0267	-7.0267	0.0009 
FBtr0070337	14	21	3	41	552	9.1111	-8.1111	0.0006 
FBtr0070338	259	124	17	23	202	2.8259	-1.8259	0.0026 
FBtr0070339	22	34	18	38	696	1.3660	-0.366	0.5544 
FBtr0070340	52	84	27	97	1399	2.2240	-1.224	0.0046 
FBtr0070341	22	49	10	39	663	1.7510	-0.751	0.2155 
FBtr0070342	4	8	7	11	149	0.7857	0.2143	1.0000 
FBtr0070343	0	54	0	25	895	0.0000	1	1.0000 
FBtr0070344	0	56	0	25	895	0.0000	1	1.0000 
FBtr0070345	0	55	0	25	917	0.0000	1	1.0000 
FBtr0070346	4	26	0	29	504	0.0000	1	0.1124 
FBtr0070347	5	15	4	22	355	1.8333	-0.8333	0.4725 
FBtr0070349	15	29	32	42	487	0.6789	0.3211	0.3398 
FBtr0070350	18	51	13	37	669	1.0045	-0.00449999999999995	1.0000 
FBtr0070351	18	51	13	37	669	1.0045	-0.00449999999999995	1.0000 
FBtr0070352	34	43	32	76	982	1.8779	-0.8779	0.0449 
FBtr0070353	34	43	32	76	982	1.8779	-0.8779	0.0449 
FBtr0070354	34	43	32	76	982	1.8779	-0.8779	0.0449 
FBtr0070355	8	5	4	13	158	5.2000	-4.2	0.0610 
FBtr0070356	15	13	11	12	212	1.2587	-0.2587	0.7813 
FBtr0070362	55	124	52	151	2387	1.2880	-0.288	0.3044 
FBtr0070363	58	126	54	151	2408	1.2872	-0.2872	0.2647 
FBtr0070364	4	6	2	7	96	2.3333	-1.3333	0.6285 
FBtr0070365	4	8	2	6	106	1.5000	-0.5	1.0000 
FBtr0070366	4	12	3	25	289	2.7778	-1.7778	0.2357 
FBtr0070367	874	364	10	40	614	9.6044	-8.6044	0.0000 
FBtr0070368	16	34	623	243	559	0.1836	0.8164	0.0000 
FBtr0070369	51	51	52	64	1049	1.2308	-0.2308	0.4974 
FBtr0070370	51	50	50	64	1027	1.3056	-0.3056	0.3415 
FBtr0070371	6	35	6	37	533	1.0571	-0.0570999999999999	1.0000 
FBtr0070372	3	6	1	1	100	0.5000	0.5	1.0000 
FBtr0070374	12	8	49	22	167	0.6735	0.3265	0.5908 
FBtr0070375	3	9	5	20	246	1.3333	-0.3333	1.0000 
FBtr0070376	11	38	3	20	469	1.9298	-0.9298	0.5251 
FBtr0070377	11	38	3	20	469	1.9298	-0.9298	0.5251 
FBtr0070378	8	49	4	29	823	1.1837	-0.1837	1.0000 
FBtr0070379	25	59	6	43	925	3.0367	-2.0367	0.0323 
FBtr0070380	8	43	4	29	664	1.3488	-0.3488	0.7568 
FBtr0070381	9	20	9	47	512	2.3500	-1.35	0.1605 
FBtr0070382	9	20	9	47	512	2.3500	-1.35	0.1605 
FBtr0070383	9	20	9	47	512	2.3500	-1.35	0.1605 
FBtr0070384	3	18	7	40	481	0.9524	0.0476	1.0000 
FBtr0070385	17	33	8	16	372	1.0303	-0.0303	1.0000 
FBtr0070386	4	5	1	5	104	4.0000	-3	0.5804 
FBtr0070387	657	291	8	35	502	9.8776	-8.8776	0.0000 
FBtr0070388	18	35	21	36	497	0.8816	0.1184	0.8426 
FBtr0070389	11	30	6	23	406	1.4056	-0.4056	0.5870 
FBtr0070390	1	3	2	3	70	0.5000	0.5	1.0000 
FBtr0070392	15	12	2	14	189	8.7500	-7.75	0.0089 
FBtr0070393	17	44	6	34	626	2.1894	-1.1894	0.1524 
FBtr0070394	14	8	3	10	186	5.8333	-4.8333	0.0354 
FBtr0070395	105	212	74	188	3429	1.2583	-0.2583	0.2402 
FBtr0070396	12	27	13	25	457	0.8547	0.1453	0.8105 
FBtr0070397	17	32	12	28	397	1.2396	-0.2396	0.6575 
FBtr0070398	10	29	38	31	535	0.2813	0.7187	0.0045 
FBtr0070399	21	71	20	38	491	0.5620	0.438	0.1349 
FBtr0070401	4	96	0	29	739	0.0000	1	0.5741 
FBtr0070402	90	90	76	52	1230	0.6842	0.3158	0.1065 
FBtr0070403	90	90	76	52	1230	0.6842	0.3158	0.1065 
FBtr0070404	90	90	76	52	1230	0.6842	0.3158	0.1065 
FBtr0070405	4	18	3	7	161	0.5185	0.4815	0.6479 
FBtr0070406	2	7	5	11	107	0.6286	0.3714	1.0000 
FBtr0070407	258	115	17	34	245	4.4870	-3.487	0.0000 
FBtr0070408	6	37	5	22	432	0.7135	0.2865	0.7386 
FBtr0070411	21	52	12	53	923	1.7837	-0.7837	0.1683 
FBtr0070412	1	16	2	10	397	0.3125	0.6875	0.5534 
FBtr0070414	9	23	8	27	398	1.3207	-0.3207	0.7797 
FBtr0070415	18	63	12	41	738	0.9762	0.0238	1.0000 
FBtr0070416	13	21	13	25	303	1.1905	-0.1905	0.8078 
FBtr0070417	18	19	2	17	303	8.0526	-7.0526	0.0072 
FBtr0070418	15	55	6	39	699	1.7727	-0.7727	0.3290 
FBtr0070419	58	91	23	89	1191	2.4663	-1.4663	0.0018 
FBtr0070420	5	70	1	41	958	2.9286	-1.9286	0.4175 
FBtr0070421	9	24	3	29	448	3.6250	-2.625	0.1081 
FBtr0070422	9	28	2	25	462	4.0179	-3.0179	0.1004 
FBtr0070423	19	40	272	126	503	0.2200	0.78	0.0000 
FBtr0070424	14	10	48	27	218	0.7875	0.2125	0.6350 
FBtr0070425	11	26	8	39	521	2.0625	-1.0625	0.1959 
FBtr0070426	13	22	32	31	507	0.5724	0.4276	0.2117 
FBtr0070427	14	40	6	22	503	1.2833	-0.2833	0.7887 
FBtr0070428	14	41	4	32	512	2.7317	-1.7317	0.1123 
FBtr0070429	33	62	21	99	1715	2.5092	-1.5092	0.0044 
FBtr0070430	18	43	13	65	1092	2.0930	-1.093	0.0998 
FBtr0070431	3	3	1	4	92	4.0000	-3	0.5455 
FBtr0070432	36	51	22	98	1534	3.1444	-2.1444	0.0003 
FBtr0070433	12	12	18	29	408	1.6111	-0.6111	0.4474 
FBtr0070434	8	23	10	50	558	1.7391	-0.7391	0.4053 
FBtr0070435	7	58	9	39	568	0.5230	0.477	0.2795 
FBtr0070436	33	87	8	31	669	1.4698	-0.4698	0.5276 
FBtr0070437	15	31	8	18	228	1.0887	-0.0887	1.0000 
FBtr0070438	2	43	0	23	361	0.0000	1	0.5457 
FBtr0070439	2	48	1	25	458	1.0417	-0.0417000000000001	1.0000 
FBtr0070440	2	48	1	25	458	1.0417	-0.0417000000000001	1.0000 
FBtr0070441	27	96	14	33	722	0.6629	0.3371	0.3185 
FBtr0070442	7	53	6	23	370	0.5063	0.4937	0.3382 
FBtr0070445	5	43	10	14	304	0.1628	0.8372	0.0043 
FBtr0070446	0	36	2	12	269	0.0000	1	0.0743 
FBtr0070447	19	66	9	40	463	1.2795	-0.2795	0.6630 
FBtr0070448	30	110	80	76	1212	0.2591	0.7409	0.0000 
FBtr0070450	2	49	1	13	249	0.5306	0.4694	0.5232 
FBtr0070457	40	131	13	61	996	1.4328	-0.4328	0.3983 
FBtr0070458	631	345	8	22	545	5.0297	-4.0297	0.0001 
FBtr0070459	1	23	1	7	140	0.3043	0.6957	0.4435 
FBtr0070460	13	33	320	124	417	0.1527	0.8473	0.0000 
FBtr0070462	21	50	9	20	353	0.9333	0.0667	1.0000 
FBtr0070466	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070467	11	40	3	19	570	1.7417	-0.7417	0.5305 
FBtr0070468	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070469	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070470	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070471	36	102	11	51	1051	1.6364	-0.6364	0.2131 
FBtr0070472	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070473	8	36	1	15	509	3.3333	-2.3333	0.4215 
FBtr0070474	11	40	3	19	570	1.7417	-0.7417	0.5305 
FBtr0070475	8	35	1	15	491	3.4286	-2.4286	0.4206 
FBtr0070476	8	34	1	14	411	3.2941	-2.2941	0.4198 
FBtr0070477	26	179	28	64	1188	0.3320	0.668	0.0005 
FBtr0070478	22	50	41	25	436	0.2683	0.7317	0.0003 
FBtr0070479	4	44	1	14	352	1.2727	-0.2727	1.0000 
FBtr0070480	30	117	26	35	626	0.3452	0.6548	0.0018 
FBtr0070481	68	69	149	49	809	0.3241	0.6759	0.0000 
FBtr0070482	43	63	118	39	668	0.2256	0.7744	0.0000 
FBtr0070484	84	117	152	71	1017	0.3354	0.6646	0.0000 
FBtr0070485	30	81	17	31	692	0.6754	0.3246	0.3444 
FBtr0070486	4	22	8	13	237	0.2955	0.7045	0.0999 
FBtr0070487	29	63	54	51	569	0.4347	0.5653	0.0060 
FBtr0070488	52	69	69	33	494	0.3604	0.6396	0.0003 
FBtr0070489	14	26	24	19	261	0.4263	0.5737	0.0782 
FBtr0070490	13	88	1	8	687	1.1818	-0.1818	1.0000 
FBtr0070491	2	40	3	18	387	0.3000	0.7	0.3226 
FBtr0070492	2	40	3	18	387	0.3000	0.7	0.3226 
FBtr0070493	2	40	3	18	387	0.3000	0.7	0.3226 
FBtr0070494	11	21	5	13	333	1.3619	-0.3619	0.7568 
FBtr0070495	35	135	53	59	973	0.2886	0.7114	0.0000 
FBtr0070496	35	135	53	59	973	0.2886	0.7114	0.0000 
FBtr0070497	12	51	12	20	428	0.3922	0.6078	0.0789 
FBtr0070498	47	88	40	43	735	0.5741	0.4259	0.0639 
FBtr0070499	19	71	23	18	552	0.2094	0.7906	0.0001 
FBtr0070501	4	58	2	12	358	0.4138	0.5862	0.3044 
FBtr0070502	18	127	9	35	819	0.5512	0.4488	0.2184 
FBtr0070503	18	77	6	20	504	0.7792	0.2208	0.7816 
FBtr0070504	19	42	15	16	260	0.4825	0.5175	0.1163 
FBtr0070505	17	32	16	14	230	0.4648	0.5352	0.1580 
FBtr0070506	23	66	9	22	375	0.8519	0.1481	0.8143 
FBtr0070507	21	384	12	410	2691	1.8685	-0.8685	0.1091 
FBtr0070508	1	17	3	12	135	0.2353	0.7647	0.3083 
FBtr0070509	33	80	12	74	1162	2.5437	-1.5437	0.0160 
FBtr0070511	17	110	8	89	1032	1.7193	-0.7193	0.2860 
FBtr0070512	17	110	8	89	1019	1.7193	-0.7193	0.2860 
FBtr0070513	17	110	8	89	1032	1.7193	-0.7193	0.2860 
FBtr0070515	17	110	8	89	1030	1.7193	-0.7193	0.2860 
FBtr0070517	5	43	3	47	669	1.8217	-0.8217	0.4824 
FBtr0070518	5	43	3	47	618	1.8217	-0.8217	0.4824 
FBtr0070519	26	81	5	89	950	5.7136	-4.7136	0.0002 
FBtr0070520	15	64	4	61	782	3.5742	-2.5742	0.0269 
FBtr0070521	5	53	3	51	638	1.6038	-0.6038	0.7178 
FBtr0070522	4	36	3	39	497	1.4444	-0.4444	0.7091 
FBtr0070523	11	19	13	8	104	0.3563	0.6437	0.0937 
FBtr0070524	217	123	23	25	193	1.9176	-0.9176	0.0393 
FBtr0070525	22	59	58	82	714	0.5272	0.4728	0.0418 
FBtr0070526	26	32	166	107	553	0.5237	0.4763	0.0284 
FBtr0070527	47	67	29	56	575	1.3546	-0.3546	0.3763 
FBtr0070528	47	67	29	56	575	1.3546	-0.3546	0.3763 
FBtr0070529	47	67	29	56	575	1.3546	-0.3546	0.3763 
FBtr0070530	23	26	98	65	375	0.5867	0.4133	0.1380 
FBtr0070531	4	20	5	45	200	1.8000	-0.8	0.4596 
FBtr0070532	5	27	13	28	190	0.3989	0.6011	0.1712 
FBtr0070534	8	39	19	35	205	0.3779	0.6221	0.0453 
FBtr0070536	16	76	19	61	478	0.6759	0.3241	0.3450 
FBtr0070537	17	18	16	16	161	0.9444	0.0556	1.0000 
FBtr0070538	3	10	1	3	57	0.9000	0.1	1.0000 
FBtr0070539	8	10	18	12	138	0.5333	0.4667	0.3748 
FBtr0070540	10	15	15	13	109	0.5778	0.4222	0.4118 
FBtr0070541	10	5	10	13	116	2.6000	-1.6	0.1983 
