GENE	TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
Acp76A	FBtr0075038	12	18	122	89	389	0.4863	0.5137	0.0782 
CG18135	FBtr0075042	12	33	21	85	653	1.4719	-0.4719	0.3917 
CG18135	FBtr0075045	971	414	150	74	770	1.1571	-0.1571	0.3478 
Met75Ca	FBtr0075115	1	1	31	15	52	0.4839	0.5161	1.0000 
NUCB1	FBtr0075171	12	26	94	111	626	0.5450	0.455	0.1123 
CG33259	FBtr0075615	16	7	30	18	120	1.3714	-0.3714	0.6062 
CG12310	FBtr0075665	8	10	29	17	117	0.4690	0.531	0.2603 
Acp70A	FBtr0075836	1	6	16	10	55	0.1042	0.8958	0.0391 
CG6071	FBtr0076136	102	95	277	198	965	0.7675	0.2325	0.1247 
Cpr67Fb	FBtr0076193	7	26	8	12	122	0.4038	0.5962	0.2090 
CG18628	FBtr0076256	1	7	8	8	64	0.1429	0.8571	0.1782 
CG6628	FBtr0076311	25	24	35	47	277	1.3988	-0.3988	0.3709 
CG13309	FBtr0076582	12	32	31	31	229	0.3750	0.625	0.0269 
RNaseX25	FBtr0076752	18	27	13	45	325	2.3077	-1.3077	0.0823 
SP1173	FBtr0076960	30	78	75	129	741	0.6615	0.3385	0.1308 
yip7	FBtr0077038	7	26	61	42	272	0.1854	0.8146	0.0002 
Jon65Aiv	FBtr0077040	7	15	54	42	273	0.3630	0.637	0.0573 
CG6602	FBtr0077047	48	48	82	83	480	1.0122	-0.0122	1.0000 
CG16713	FBtr0077547	3	7	42	37	82	0.3776	0.6224	0.1966 
CG2975	FBtr0077619	56	63	37	63	385	1.5135	-0.5135	0.1698 
CG17242	FBtr0077803	17	46	70	54	245	0.2851	0.7149	0.0002 
RFeSP	FBtr0077915	5	37	3	16	230	0.7207	0.2793	0.6954 
CG31659	FBtr0077943	5	15	40	49	192	0.4083	0.5917	0.1334 
lectin-21Ca	FBtr0077998	21	24	58	54	269	0.8147	0.1853	0.5996 
CG13947	FBtr0078005	3	27	48	49	119	0.1134	0.8866	0.0001 
CG10587	FBtr0078333	9	5	49	53	276	1.9469	-0.9469	0.3934 
CG11037	FBtr0078334	6	12	42	55	292	0.6548	0.3452	0.6038 
Sems	FBtr0078335	4	16	84	69	275	0.2054	0.7946	0.0039 
CG14567	FBtr0078454	22	13	28	34	194	2.0549	-1.0549	0.1382 
SPoCk	FBtr0078533	11	32	23	170	1034	2.5408	-1.5408	0.0298 
CG11131	FBtr0078558	7	10	18	46	231	1.7889	-0.7889	0.3776 
Or82a	FBtr0078977	3	5	46	77	392	1.0043	-0.00429999999999997	1.0000 
CG9029	FBtr0079143	10	15	57	34	116	0.3977	0.6023	0.0661 
Acp26Aa	FBtr0079155	31	28	216	66	266	0.3383	0.6617	0.0004 
CG14277	FBtr0079595	9	22	11	23	170	0.8554	0.1446	0.7948 
lectin-29Ca	FBtr0079715	10	11	133	54	237	0.3691	0.6309	0.0443 
lectin-30A	FBtr0079816	11	16	128	39	234	0.2095	0.7905	0.0003 
CG31883	FBtr0079829	63	38	252	93	328	0.6118	0.3882	0.0467 
CG5731	FBtr0079959	8	64	9	70	413	0.9722	0.0278	1.0000 
CG17097	FBtr0080101	106	93	670	375	1094	0.6379	0.3621	0.0051 
CG14069	FBtr0080175	53	34	6	10	102	2.5980	-1.598	0.1023 
CG6555	FBtr0080270	3	8	10	12	47	0.4500	0.55	0.4559 
CG17010	FBtr0080354	42	50	70	72	429	0.8640	0.136	0.5951 
CG11864	FBtr0080784	11	10	47	45	251	1.0532	-0.0531999999999999	1.0000 
CG6639	FBtr0081004	36	25	278	156	502	0.8081	0.1919	0.4788 
Acp36DE	FBtr0081054	54	54	589	227	918	0.3854	0.6146	0.0000 
CG17549	FBtr0081220	12	21	15	45	263	1.7143	-0.7143	0.3397 
TepIV	FBtr0081254	61	75	116	243	1500	1.7038	-0.7038	0.0116 
CG13965	FBtr0081308	7	13	32	22	133	0.3702	0.6298	0.0731 
CG10651	FBtr0081378	17	19	62	70	319	1.0102	-0.0102	1.0000 
CG17472	FBtr0081382	6	7	83	43	164	0.4441	0.5559	0.2239 
Spn3	FBtr0081450	16	11	132	88	376	0.9697	0.0303	1.0000 
alphaTub84D	FBtr0081538	0	24	0	57	450	0.0000	1	1.0000 
CG10029	FBtr0081591	406	191	43	57	410	2.8177	-1.8177	0.0000 
Gld	FBtr0081596	12	25	26	91	612	1.6800	-0.68	0.2734 
Ccp84Ab	FBtr0081692	16	16	11	31	221	2.8182	-1.8182	0.0511 
CG17919	FBtr0081711	2	5	17	35	203	0.8235	0.1765	1.0000 
CG7800	FBtr0081795	711	353	458	28	537	0.1231	0.8769	0.0000 
CG8420	FBtr0081973	23	27	17	51	532	2.5556	-1.5556	0.0196 
Crc	FBtr0082103	4	18	3	25	406	1.8519	-0.8519	0.6843 
CG3999	FBtr0082225	27	42	9	155	985	11.0714	-10.0714	0.0000 
scpr-A	FBtr0082357	6	36	12	32	265	0.4444	0.5556	0.1869 
mfas	FBtr0082498	33	65	68	100	958	0.7466	0.2534	0.2964 
mfas	FBtr0082499	32	65	15	99	885	3.2492	-2.2492	0.0008 
mfas	FBtr0082500	28	62	18	94	844	2.3584	-1.3584	0.0175 
mfas	FBtr0082501	27	62	14	93	819	2.8929	-1.8929	0.0045 
mfas	FBtr0082502	28	62	18	94	843	2.3584	-1.3584	0.0175 
mfas	FBtr0082503	27	62	14	93	820	2.8929	-1.8929	0.0045 
CG18530	FBtr0082644	26	45	49	63	390	0.7429	0.2571	0.3588 
yellow-e	FBtr0082757	20	43	9	89	530	4.5995	-3.5995	0.0006 
yellow-e3	FBtr0082759	27	41	26	60	411	1.5197	-0.5197	0.2359 
Adgf-C	FBtr0082821	13	58	54	99	507	0.4109	0.5891	0.0118 
Npc2b	FBtr0082889	4	25	6	17	159	0.4533	0.5467	0.3068 
CG31327	FBtr0082904	501	271	199	163	866	1.5143	-0.5143	0.0016 
trx	FBtr0082950	137	243	1501	965	3728	0.3625	0.6375	0.0000 
Cys	FBtr0082980	6	13	42	27	149	0.2967	0.7033	0.0362 
Spn5	FBtr0083142	10	37	454	77	859	0.0458	0.9542	0.0000 
modSP	FBtr0083353	16	26	33	85	628	1.5851	-0.5851	0.2452 
CG31418	FBtr0083432	12	10	104	67	232	0.7731	0.2269	0.6459 
CG14292	FBtr0083725	9	24	10	24	168	0.9000	0.1	1.0000 
CG17271	FBtr0083993	9	23	23	40	289	0.6805	0.3195	0.4944 
CG31198	FBtr0084128	23	63	80	156	940	0.7119	0.2881	0.2799 
CG6690	FBtr0084149	40	55	182	131	566	0.5235	0.4765	0.0068 
CG17843	FBtr0084150	46	65	59	113	554	1.3554	-0.3554	0.2571 
Dcr-1	FBtr0084324	112	297	103	340	2252	1.2448	-0.2448	0.1798 
CG13822	FBtr0084434	16	13	290	123	216	0.5220	0.478	0.0984 
SPE	FBtr0084440	460	214	30	71	400	5.0872	-4.0872	0.0000 
CG31413	FBtr0084442	61	51	121	142	575	1.4037	-0.4037	0.1434 
Acp95EF	FBtr0084561	1	1	85	12	112	0.1412	0.8588	0.2465 
Mst57Da	FBtr0084914	8	7	40	18	77	0.5143	0.4857	0.3603 
Mst57Db	FBtr0084915	3	1	50	7	79	0.4200	0.58	0.4389 
BM-40-SPARC	FBtr0085094	6	42	9	32	304	0.5079	0.4921	0.2673 
CG5402	FBtr0085213	20	7	80	34	163	1.2143	-0.2143	0.8155 
Gp93	FBtr0085254	9	88	18	97	787	0.5511	0.4489	0.2152 
CG4815	FBtr0085260	10	29	79	40	265	0.1746	0.8254	0.0000 
CG12558	FBtr0085311	32	19	32	57	299	3.0000	-2	0.0027 
CG14061	FBtr0085313	16	25	71	69	366	0.6220	0.378	0.2158 
CG9997	FBtr0085314	13	34	81	59	330	0.2785	0.7215	0.0004 
Jon99Fii	FBtr0085690	11	44	32	34	277	0.2656	0.7344	0.0012 
Aph-4	FBtr0085733	35	57	33	108	596	2.0096	-1.0096	0.0187 
CG11630	FBtr0085909	9	20	73	106	631	0.6534	0.3466	0.4135 
Spn42De	FBtr0086164	532	247	62	81	404	2.8139	-1.8139	0.0000 
Cpr56F	FBtr0086301	8	27	6	34	217	1.6790	-0.679	0.5537 
CG9143	FBtr0086304	51	145	29	130	816	1.5767	-0.5767	0.0968 
Obp56e	FBtr0086327	5	7	20	20	132	0.7143	0.2857	0.7460 
Obp56f	FBtr0086328	8	1	37	26	125	5.6216	-4.6216	0.1397 
Obp56i	FBtr0086337	17	11	54	22	141	0.6296	0.3704	0.3477 
Obp56g	FBtr0086343	7	22	21	19	132	0.2879	0.7121	0.0254 
wbl	FBtr0086510	9	35	18	29	257	0.4143	0.5857	0.0709 
CG9975	FBtr0086518	9	66	41	85	515	0.2827	0.7173	0.0012 
CG15117	FBtr0086593	14	98	15	96	656	0.9143	0.0857	0.8448 
CG15117	FBtr0086594	16	99	15	97	670	1.0451	-0.0450999999999999	1.0000 
CG10764	FBtr0086919	213	113	313	115	570	0.6926	0.3074	0.0249 
NT5E-2	FBtr0086928	31	96	645	96	1192	0.0481	0.9519	0.0000 
CG6426	FBtr0087042	3	13	2	18	162	2.0769	-1.0769	0.6371 
Acp53Ea	FBtr0087080	6	15	33	17	123	0.2061	0.7939	0.0081 
Acp53C14b	FBtr0087081	2	20	27	15	132	0.0556	0.9444	0.0000 
Acp53C14a	FBtr0087082	6	14	18	16	121	0.3810	0.619	0.1564 
CG6262	FBtr0087151	66	129	161	146	876	0.4640	0.536	0.0000 
CG6262	FBtr0087152	71	157	180	174	1051	0.4372	0.5628	0.0000 
Aats-cys	FBtr0087234	39	123	22	92	741	1.3259	-0.3259	0.3792 
CG33462	FBtr0087284	30	11	115	62	306	1.4704	-0.4704	0.3623 
Obp51a	FBtr0087420	4	14	27	26	117	0.2751	0.7249	0.0530 
Cpr51A	FBtr0087514	3	15	24	19	144	0.1583	0.8417	0.0056 
CG8257	FBtr0087580	25	48	43	94	560	1.1386	-0.1386	0.7570 
CG6357	FBtr0087638	84	50	402	177	427	0.7397	0.2603	0.1496 
CG6553	FBtr0087642	149	92	71	53	356	1.2090	-0.209	0.4299 
CG17574	FBtr0087816	17	9	13	17	156	2.4701	-1.4701	0.1156 
CG30486	FBtr0087817	12	37	17	42	263	0.8013	0.1987	0.6671 
CG17575	FBtr0087819	9	45	11	24	293	0.4364	0.5636	0.1235 
CG12374	FBtr0087854	9	48	9	42	422	0.8750	0.125	0.8025 
Egm	FBtr0088090	36	67	37	99	639	1.4377	-0.4377	0.2054 
CG30025	FBtr0088158	1	3	5	10	44	0.6667	0.3333	1.0000 
CG12943	FBtr0088198	10	58	44	85	461	0.3331	0.6669	0.0041 
lectin-46Ca	FBtr0088476	9	16	53	54	331	0.5731	0.4269	0.2690 
Nup44A	FBtr0088862	5	17	7	72	354	3.0252	-2.0252	0.1281 
ACC	FBtr0088871	24	116	43	384	2482	1.8476	-0.8476	0.0337 
CG6370	FBtr0089559	26	69	19	89	634	1.7651	-0.7651	0.1270 
Dup99B	FBtr0089608	6	3	17	20	55	2.3529	-1.3529	0.4591 
CG33631	FBtr0091608	11	13	24	47	195	1.6571	-0.6571	0.3326 
CG33775	FBtr0091776	14	15	34	34	182	0.9333	0.0667	1.0000 
CG33784	FBtr0091785	199	98	33	56	184	3.4459	-2.4459	0.0000 
CG33998	FBtr0100053	9	15	10	22	119	1.3200	-0.32	0.7765 
CG34033	FBtr0100088	9	15	39	43	168	0.6615	0.3385	0.4860 
CG34051	FBtr0100106	14	19	100	40	224	0.2947	0.7053	0.0022 
CG15117	FBtr0100129	14	98	15	96	656	0.9143	0.0857	0.8448 
Obp22a	FBtr0100503	97	43	31	18	117	1.3098	-0.3098	0.4794 
BG642167	FBtr0110770	87	38	24	17	108	1.6217	-0.6217	0.2510 
Spn75F	FBtr0110771	16	23	117	75	362	0.4459	0.5541	0.0320 
Spn53F	FBtr0110777	35	36	46	63	379	1.3315	-0.3315	0.3622 
CG14034	FBtr0110802	13	64	99	55	355	0.1128	0.8872	0.0000 
CG17271	FBtr0110823	12	21	23	37	278	0.9193	0.0807	1.0000 
Spn28Da	FBtr0110841	301	135	407	51	744	0.2794	0.7206	0.0000 
CG15539	FBtr0110859	78	65	91	84	510	1.1077	-0.1077	0.6536 
CG34129	FBtr0110870	7	26	72	71	315	0.2655	0.7345	0.0032 
CG34130	FBtr0110871	26	36	70	64	297	0.6603	0.3397	0.2193 
CG34295	FBtr0112491	26	28	75	52	290	0.6438	0.3562	0.1935 
CG34435	FBtr0112736	24	47	79	56	301	0.3620	0.638	0.0012 
CG34447	FBtr0112751	21	59	37	54	389	0.5195	0.4805	0.0533 
CG12828	FBtr0112770	6	1	19	22	97	6.9474	-5.9474	0.0995 
CG11112	FBtr0113047	13	8	97	44	203	0.7371	0.2629	0.6174 
CG11113	FBtr0113048	7	9	27	35	138	1.0082	-0.00819999999999999	1.0000 
CG1701	FBtr0113049	7	4	46	22	136	0.8370	0.163	0.7450 
SPoCk	FBtr0113437	6	26	19	165	997	2.0040	-1.004	0.2254 
Fas1	FBtr0300036	9	22	610	296	618	0.1985	0.8015	0.0000 
CG18234	FBtr0300049	34	32	117	98	514	0.8900	0.11	0.7779 
CG32201	FBtr0300051	655	283	89	106	525	2.7566	-1.7566	0.0000 
CG30395	FBtr0300226	618	250	526	91	911	0.4277	0.5723	0.0000 
Sfp23F	FBtr0300295	11	7	12	11	78	1.4405	-0.4405	0.7523 
Sfp24Ba	FBtr0300296	17	24	85	23	156	0.1917	0.8083	0.0000 
Sfp24Bb	FBtr0300297	8	13	67	21	110	0.1929	0.8071	0.0014 
Sfp24C1	FBtr0300302	6	3	76	30	85	0.7895	0.2105	0.7145 
CG42467	FBtr0300303	3	13	42	13	83	0.0714	0.9286	0.0000 
Sfp26Ac	FBtr0300305	5	9	16	15	85	0.5208	0.4792	0.3555 
Sfp33A1	FBtr0300306	10	11	25	20	93	0.7273	0.2727	0.6034 
CG42471	FBtr0300307	8	5	26	10	83	0.6154	0.3846	0.5001 
Sfp53D	FBtr0300312	12	13	73	30	160	0.3793	0.6207	0.0359 
Sfp87B	FBtr0300319	1	9	26	21	87	0.0897	0.9103	0.0131 
Sfp84E	FBtr0300322	10	5	28	30	160	2.1429	-1.1429	0.2537 
Sfp51E	FBtr0300323	13	10	52	38	139	0.9500	0.05	1.0000 
CG15635	FBtr0300354	254	79	886	117	1136	0.4246	0.5754	0.0000 
Spn1	FBtr0300357	22	19	38	66	374	2.0111	-1.0111	0.0645 
sphinx1	FBtr0300363	9	29	61	49	253	0.2493	0.7507	0.0007 
CG15864	FBtr0300372	37	32	102	85	490	0.9635	0.0365	1.0000 
Fkbp13	FBtr0300397	5	31	4	15	216	0.6048	0.3952	0.7032 
CG11977	FBtr0300742	2	17	111	66	281	0.0700	0.93	0.0000 
CG16953	FBtr0300803	31	49	51	112	579	1.3894	-0.3894	0.2523 
CG17549	FBtr0300823	12	23	15	47	288	1.6348	-0.6348	0.3476 
CG31016	FBtr0300962	93	68	93	98	538	1.4412	-0.4412	0.1079 
CG42537	FBtr0301001	4	2	18	17	92	1.8889	-0.8889	0.6681 
CG42564	FBtr0301268	20	10	156	111	511	1.4231	-0.4231	0.4375 
lectin-46Cb	FBtr0301706	15	24	39	50	322	0.8013	0.1987	0.6978 
Sfp24Bc	FBtr0301934	77	34	36	8	112	0.5033	0.4967	0.1602 
Sfp26Ad	FBtr0301935	10	10	74	23	124	0.3108	0.6892	0.0274 
Sfp78E	FBtr0301939	5	4	24	38	133	1.9792	-0.9792	0.4713 
Sfp93F	FBtr0301940	3	0	8	12	53	0.0000	1	0.0932 
SPoCk	FBtr0302134	2	25	3	156	917	4.1600	-3.16	0.1538 
CG34002	FBtr0302155	19	21	86	70	351	0.7364	0.2636	0.4776 
yellow-e2	FBtr0302576	32	38	35	94	439	2.2617	-1.2617	0.0117 
CG42680	FBtr0302802	8	3	38	15	77	1.0526	-0.0526	1.0000 
BG642312	FBtr0302931	7	4	19	10	77	0.9211	0.0789	1.0000 
CG17575	FBtr0302939	9	45	11	25	300	0.4545	0.5455	0.1309 
Acp53C14c	FBtr0303024	6	14	39	23	124	0.2527	0.7473	0.0187 
CG42807	FBtr0303819	18	49	34	54	278	0.5834	0.4166	0.1693 
CG42823	FBtr0303831	105	55	26	26	167	1.9091	-0.9091	0.0498 
CG11600	FBtr0303840	16	31	134	78	434	0.3004	0.6996	0.0003 
CG11608	FBtr0303841	25	21	131	76	430	0.6907	0.3093	0.3146 
CG31515	FBtr0304565	8	10	39	20	130	0.4103	0.5897	0.1662 
Sfp24F	FBtr0304639	6	6	94	36	176	0.3830	0.617	0.1819 
CG43057	FBtr0304640	11	19	28	28	126	0.5789	0.4211	0.2637 
CG18233	FBtr0304702	48	39	92	113	516	1.5117	-0.5117	0.1246 
CG43074	FBtr0304829	24	7	82	32	191	1.3380	-0.338	0.6508 
CG43090	FBtr0304876	18	18	54	34	174	0.6296	0.3704	0.3164 
CG43101	FBtr0304888	14	6	97	31	116	0.7457	0.2543	0.5848 
CG43111	FBtr0304898	9	13	35	29	141	0.5736	0.4264	0.3263 
Gld2	FBtr0305038	57	83	224	223	1371	0.6837	0.3163	0.0533 
CG43123	FBtr0305124	11	14	72	74	284	0.8075	0.1925	0.6697 
CG43145	FBtr0305483	66	26	28	13	76	1.1786	-0.1786	0.6854 
Fkbp13	FBtr0306013	5	31	4	15	220	0.6048	0.3952	0.7032 
CG13639	FBtr0306105	4	6	13	12	70	0.6154	0.3846	0.7112 
CG17574	FBtr0306579	20	14	23	19	174	1.1801	-0.1801	0.8174 
CG17574	FBtr0306580	17	15	11	18	162	1.8545	-0.8545	0.3058 
CG30488	FBtr0306584	10	30	49	45	272	0.3061	0.6939	0.0044 
Klp54D	FBtr0306906	19	63	10	123	726	3.7095	-2.7095	0.0017 
CG43320	FBtr0306924	45	43	67	59	398	0.9216	0.0784	0.7826 
CG31419	FBtr0309516	26	15	59	50	239	1.4689	-0.4689	0.3576 
GLaz	FBtr0310154	5	19	8	31	212	1.0197	-0.0197000000000001	1.0000 
CG43691	FBtr0310562	122	114	448	252	1134	0.6020	0.398	0.0009 
NLaz	FBtr0329947	18	30	13	31	245	1.4308	-0.4308	0.5094 
vsg	FBtr0330097	6	10	26	37	263	0.8538	0.1462	1.0000 
Spn77Bc	FBtr0331816	46	21	270	102	440	0.8275	0.1725	0.5548 
zormin	FBtr0332115	139	494	42	314	2945	2.1036	-1.1036	0.0001 
CG9525	FBtr0332188	112	69	204	109	690	0.8673	0.1327	0.4964 
CG31445	FBtr0332431	69	129	142	173	930	0.6517	0.3483	0.0269 
CG10587	FBtr0333286	10	5	52	56	289	2.1538	-1.1538	0.2704 
exd	FBtr0333323	2	33	1	29	376	1.7576	-0.7576	1.0000 
Est-6	FBtr0333383	33	56	105	83	549	0.4658	0.5342	0.0045 
CG31704	FBtr0333421	6	7	35	15	68	0.3673	0.6327	0.1897 
SP555	FBtr0333534	13	27	23	44	303	0.9211	0.0789	1.0000 
